fluorochrome	type	nm	norm_intensity	source	num
BrilliantUltraviolet615	em	406	18	th	1
BrilliantUltraviolet615	em	607	100	th	2
BrilliantUltraviolet615	ex	350	100	th	1
BrilliantUltraviolet615	ex	589	26	th	2
BrilliantUltraviolet661	em	408	12	bd	1
BrilliantUltraviolet661	em	658	100	bd	2
BrilliantUltraviolet661	ex	351	100	bd	1
BrilliantUltraviolet661	ex	636	21	bd	2
BrilliantUltraviolet661	em	394	31	bl	1
BrilliantUltraviolet661	em	660	100	bl	2
BrilliantUltraviolet661	ex	349	99	bl	1
BrilliantUltraviolet661	ex	635	19	bl	2
BrilliantUltraviolet661	em	399	46	th	1
BrilliantUltraviolet661	em	659	100	th	2
BrilliantUltraviolet661	ex	349	100	th	1
BrilliantUltraviolet661	ex	636	18	th	2
BrilliantUltraviolet737	em	407	38	bd	1
BrilliantUltraviolet737	em	734	100	bd	2
BrilliantUltraviolet737	ex	350	100	bd	1
BrilliantUltraviolet737	ex	713	30	bd	2
BrilliantUltraviolet737	em	740	99	bl	1
BrilliantUltraviolet737	ex	350	99	bl	1
BrilliantUltraviolet737	ex	711	30	bl	2
BrilliantUltraviolet737	em	739	99	th	1
BrilliantUltraviolet737	ex	347	100	th	1
BrilliantUltraviolet737	ex	710	32	th	2
BrilliantUltraviolet805	em	408	84	bd	1
BrilliantUltraviolet805	em	803	100	bd	2
BrilliantUltraviolet805	ex	351	100	bd	1
BrilliantUltraviolet805	ex	721	19	bd	2
BrilliantUltraviolet805	ex	784	57	bd	3
BrilliantUltraviolet805	em	394	52	bl	1
BrilliantUltraviolet805	em	803	100	bl	2
BrilliantUltraviolet805	ex	348	100	bl	1
BrilliantUltraviolet805	ex	717	24	bl	2
BrilliantUltraviolet805	ex	785	64	bl	3
BrilliantUltraviolet805	em	394	52	th	1
BrilliantUltraviolet805	em	803	100	th	2
BrilliantUltraviolet805	ex	348	100	th	1
BrilliantUltraviolet805	ex	717	24	th	2
BrilliantUltraviolet805	ex	785	64	th	3
BrilliantViolet421	em	420	98	bd	1
BrilliantViolet421	em	446	43	bd	2
BrilliantViolet421	ex	408	100	bd	1
BrilliantViolet421	em	422	100	bl	1
BrilliantViolet421	em	447	40	bl	2
BrilliantViolet421	ex	407	100	bl	1
BrilliantViolet421	em	423	100	th	1
BrilliantViolet421	em	449	46	th	2
BrilliantViolet421	ex	304	25	th	1
BrilliantViolet421	ex	406	100	th	2
BrilliantViolet480	em	476	100	bd	1
BrilliantViolet480	em	506	64	bd	2
BrilliantViolet480	ex	441	100	bd	1
BrilliantViolet480	em	478	100	th	1
BrilliantViolet480	ex	437	100	th	1
BrilliantViolet510	em	513	100	bd	1
BrilliantViolet510	ex	325	99	bd	1
BrilliantViolet510	ex	404	100	bd	2
BrilliantViolet510	em	509	100	bl	1
BrilliantViolet510	ex	325	97	bl	1
BrilliantViolet510	ex	405	100	bl	2
BrilliantViolet510	em	505	100	th	1
BrilliantViolet510	ex	312	100	th	1
BrilliantViolet510	ex	404	53	th	2
BrilliantViolet570	em	571	100	bd	1
BrilliantViolet570	em	611	41	bd	2
BrilliantViolet570	ex	407	100	bd	1
BrilliantViolet570	ex	525	16	bd	2
BrilliantViolet570	ex	557	28	bd	3
BrilliantViolet570	em	421	22	bl	1
BrilliantViolet570	em	571	99	bl	2
BrilliantViolet570	ex	407	100	bl	1
BrilliantViolet570	ex	525	11	bl	2
BrilliantViolet570	ex	557	20	bl	3
BrilliantViolet570	em	423	19	th	1
BrilliantViolet570	em	574	100	th	2
BrilliantViolet570	ex	406	100	th	1
BrilliantViolet570	ex	525	15	th	2
BrilliantViolet570	ex	557	26	th	3
BrilliantViolet605	em	601	100	bd	1
BrilliantViolet605	em	647	42	bd	2
BrilliantViolet605	ex	407	100	bd	1
BrilliantViolet605	ex	550	16	bd	2
BrilliantViolet605	ex	587	26	bd	3
BrilliantViolet605	em	422	11	bl	1
BrilliantViolet605	em	602	100	bl	2
BrilliantViolet605	em	648	43	bl	3
BrilliantViolet605	ex	407	100	bl	1
BrilliantViolet605	ex	550	11	bl	2
BrilliantViolet605	ex	587	19	bl	3
BrilliantViolet605	em	602	100	th	1
BrilliantViolet605	ex	309	52	th	1
BrilliantViolet605	ex	406	100	th	2
BrilliantViolet605	ex	551	15	th	3
BrilliantViolet605	ex	587	25	th	4
BrilliantViolet650	em	646	100	bd	1
BrilliantViolet650	ex	407	100	bd	1
BrilliantViolet650	ex	620	13	bd	2
BrilliantViolet650	em	422	19	bl	1
BrilliantViolet650	em	646	100	bl	2
BrilliantViolet650	ex	407	100	bl	1
BrilliantViolet650	ex	620	12	bl	2
BrilliantViolet650	em	423	16	th	1
BrilliantViolet650	em	646	100	th	2
BrilliantViolet650	ex	407	100	th	1
BrilliantViolet650	ex	620	18	th	2
BrilliantViolet711	em	422	12	bd	1
BrilliantViolet711	em	711	100	bd	2
BrilliantViolet711	ex	407	100	bd	1
BrilliantViolet711	ex	690	24	bd	2
BrilliantViolet711	em	712	100	bl	1
BrilliantViolet711	ex	406	100	bl	1
BrilliantViolet711	ex	689	24	bl	2
BrilliantViolet711	em	422	35	th	1
BrilliantViolet711	em	446	18	th	2
BrilliantViolet711	em	711	100	th	3
BrilliantViolet711	ex	407	100	th	1
BrilliantViolet711	ex	690	22	th	2
BrilliantViolet750	em	421	13	bd	1
BrilliantViolet750	em	752	100	bd	2
BrilliantViolet750	ex	408	100	bd	1
BrilliantViolet750	ex	728	23	bd	2
BrilliantViolet750	em	449	40	bl	1
BrilliantViolet750	em	747	100	bl	2
BrilliantViolet750	ex	407	99	bl	1
BrilliantViolet750	ex	727	22	bl	2
BrilliantViolet750	em	425	18	th	1
BrilliantViolet750	em	749	100	th	2
BrilliantViolet750	em	870	18	th	3
BrilliantViolet750	em	888	19	th	4
BrilliantViolet750	ex	406	100	th	1
BrilliantViolet750	ex	720	27	th	2
BrilliantViolet785	em	422	28	bd	1
BrilliantViolet785	em	445	13	bd	2
BrilliantViolet785	em	782	100	bd	3
BrilliantViolet785	ex	407	100	bd	1
BrilliantViolet785	ex	750	30	bd	2
BrilliantViolet785	em	424	23	bl	1
BrilliantViolet785	em	445	13	bl	2
BrilliantViolet785	em	788	98	bl	3
BrilliantViolet785	em	847	37	bl	4
BrilliantViolet785	ex	406	100	bl	1
BrilliantViolet785	ex	757	35	bl	2
BrilliantViolet785	em	420	100	th	1
BrilliantViolet785	em	448	50	th	2
BrilliantViolet785	em	779	84	th	3
BrilliantViolet785	ex	406	100	th	1
BrilliantViolet785	ex	750	29	th	2
BrilliantViolet786	em	421	30	bd	1
BrilliantViolet786	em	447	14	bd	2
BrilliantViolet786	em	783	100	bd	3
BrilliantViolet786	ex	407	100	bd	1
BrilliantViolet786	ex	750	29	bd	2
BrilliantViolet786	em	424	23	bl	1
BrilliantViolet786	em	445	13	bl	2
BrilliantViolet786	em	788	98	bl	3
BrilliantViolet786	em	847	37	bl	4
BrilliantViolet786	ex	406	100	bl	1
BrilliantViolet786	ex	757	35	bl	2
BrilliantViolet786	em	424	22	th	1
BrilliantViolet786	em	788	100	th	2
BrilliantViolet786	em	849	39	th	3
BrilliantViolet786	ex	405	100	th	1
BrilliantViolet786	ex	757	36	th	2
BrilliantYellowGreen584-P	em	580	100	bd	1
BrilliantYellowGreen584-P	ex	525	33	bd	1
BrilliantYellowGreen584-P	ex	563	100	bd	2
CFP	em	477	100	bl	1
CFP	em	502	90	bl	2
CFP	ex	435	100	bl	1
CFP	ex	452	96	bl	2
CFP	em	476	100	th	1
CFP	em	504	96	th	2
CFP	ex	434	100	th	1
CFP	ex	453	99	th	2
CFSE	em	517	100	bd	1
CFSE	ex	498	100	bd	1
CFSE	em	516	99	bl	1
CFSE	ex	492	99	bl	1
CFSE	em	517	100	th	1
CFSE	ex	498	100	th	1
CalceinAM	em	515	100	bd	1
CalceinAM	ex	494	100	bd	1
CalceinAM	em	514	100	bl	1
CalceinAM	ex	494	100	bl	1
CalceinAM	em	515	100	th	1
CalceinAM	ex	494	100	th	1
CalceinBlueAM	em	440	100	bd	1
CalceinBlueAM	ex	354	100	bd	1
CalceinBlueAM	em	448	100	th	1
CalceinBlueAM	ex	360	100	th	1
CalceinRedAM	em	576	100	bl	1
CalceinRedAM	ex	303	41	bl	1
CalceinRedAM	ex	563	100	bl	2
CalceinRedOrangeAM	em	592	100	th	1
CalceinRedOrangeAM	ex	575	100	th	1
CalceinVioletAM	em	452	100	bl	1
CalceinVioletAM	ex	400	100	bl	1
CalceinVioletAM	em	452	100	th	1
CalceinVioletAM	ex	401	100	th	1
CalciumCrimson (CalciumBound)	em	608	100	th	1
CalciumCrimson (CalciumBound)	ex	589	100	th	1
CalciumGreen	em	530	100	th	1
CalciumGreen	ex	335	18	th	1
CalciumGreen	ex	507	100	th	2
CalciumOrange	em	574	100	th	1
CalciumOrange	ex	353	11	th	1
CalciumOrange	ex	549	100	th	2
CalciumSensorDyeeFluor514	em	516	100	th	1
CalciumSensorDyeeFluor514	ex	494	100	th	1
CascadeBlue	em	419	100	bl	1
CascadeBlue	ex	380	78	bl	1
CascadeBlue	ex	401	100	bl	2
CascadeBlue	em	419	100	th	1
CascadeBlue	ex	380	79	th	1
CascadeBlue	ex	402	100	th	2
CascadeYellow	em	549	100	bl	1
CascadeYellow	ex	399	100	bl	1
CaspGLOWFluoresceinActiveCaspase-3Assay	em	517	100	th	1
CaspGLOWFluoresceinActiveCaspase-3Assay	ex	498	100	th	1
CaspGLOWFluoresceinActiveCaspase-8Assay	em	517	100	th	1
CaspGLOWFluoresceinActiveCaspase-8Assay	ex	498	100	th	1
CaspGLOWFluoresceinActiveCaspase-9Assay	em	517	100	th	1
CaspGLOWFluoresceinActiveCaspase-9Assay	ex	498	100	th	1
CaspGLOWFluoresceinActiveCaspaseAssay	em	517	100	th	1
CaspGLOWFluoresceinActiveCaspaseAssay	ex	498	100	th	1
CellEventCaspase-3_7GreenAssay	em	533	100	th	1
CellEventCaspase-3_7GreenAssay	ex	511	100	th	1
CellEventRed	em	609	100	th	1
CellEventRed	ex	588	100	th	1
CellEventSenescenceGreen	em	519	100	th	1
CellEventSenescenceGreen	ex	498	100	th	1
CellMaskDeepRedActin	em	671	100	th	1
CellMaskDeepRedActin	ex	652	100	th	1
CellMaskDeepRedPlasmaMembraneStain	em	677	99	th	1
CellMaskDeepRedPlasmaMembraneStain	ex	659	100	th	1
CellMaskGreenActin	em	513	100	th	1
CellMaskGreenActin	ex	505	100	th	1
CellMaskOrangeActin	em	572	100	th	1
CellMaskOrangeActin	ex	543	100	th	1
CellMaskOrangePlasmaMembraneStain	em	571	100	th	1
CellMaskOrangePlasmaMembraneStain	em	608	47	th	2
CellMaskOrangePlasmaMembraneStain	ex	524	57	th	1
CellMaskOrangePlasmaMembraneStain	ex	556	100	th	2
CellProliferationDyeeFluor450	em	449	100	th	1
CellProliferationDyeeFluor450	ex	409	100	th	1
CellProliferationDyeeFluor670	em	633	41	th	1
CellProliferationDyeeFluor670	em	672	100	th	2
CellProliferationDyeeFluor670	ex	653	100	th	1
CellROXDeepRed	em	663	100	th	1
CellROXDeepRed	ex	603	34	th	1
CellROXDeepRed	ex	646	100	th	2
CellROXGreen	em	525	100	th	1
CellROXGreen	ex	507	100	th	1
